time,cells
0.0,1
50.0,1
100.0,1
150.0,1
200.0,1
250.0,1
300.0,1
350.0,1
400.0,1
450.0,2
500.0,2
550.0,2
600.0,2
650.0,2
700.0,2
750.0,2
800.0,2
850.0,3
900.0,4
950.0,4
1000.0,4
1050.0,4
1100.0,4
1150.0,4
1200.0,4
1250.0,4
1300.0,5
1350.0,6
1400.0,8
1450.0,8
1500.0,9
1550.0,9
1600.0,12
1650.0,14
1700.0,14
1750.0,14
1800.0,17
1850.0,17
1900.0,17
1950.0,18
2000.0,18
2050.0,19
2100.0,19
2150.0,19
2200.0,21
2250.0,26
2300.0,27
2350.0,27
2400.0,27
2450.0,30
2500.0,32
2550.0,34
2600.0,36
2650.0,38
2700.0,40
2750.0,44
2800.0,48
2850.0,49
2900.0,52
2950.0,58
3000.0,63
3050.0,68
3100.0,72
3150.0,83
3200.0,88
3250.0,94
3300.0,100
3350.0,107
3400.0,116
3450.0,125
3500.0,134
3550.0,152
3600.0,165
3650.0,180
3700.0,188
3750.0,198
3800.0,210
3850.0,228
3900.0,241
3950.0,259
4000.0,282
4050.0,307
4100.0,330
4150.0,354
4200.0,382
4250.0,411
4300.0,432
4350.0,463
4400.0,493
4450.0,528
4500.0,565
4550.0,609
4600.0,660
4650.0,714
4700.0,756
4750.0,812
4800.0,890
4850.0,953
4883.0,1000
