gamma,time
0.0,13.69109357384442
0.01,17.27621195039459
0.02,17.343855693348367
0.03,17.208568207440813
0.04,17.560315670800453
0.05,17.479143179255917
0.06,17.65501691093574
0.07,17.65501691093574
0.08,17.871476888387825
0.09,18.182638105975197
0.1,18.08793686583991
0.11,18.23675310033822
0.12,18.507328072153324
0.13,18.859075535512964
0.14,18.832018038331455
0.15,18.859075535512964
0.16,19.319052987598646
0.17,19.319052987598646
0.18,19.237880496054114
0.19,19.68432919954904
0.2,19.914317925591885
0.21,19.68432919954904
0.22,19.65727170236753
0.23,20.347237880496053
0.24,20.482525366403607
0.25,20.18489289740699
0.26,21.307779030439683
0.27,20.523111612175875
0.28,20.956031567080046
0.29,20.753100338218715
0.3,21.104847801578355
0.31,21.010146561443065
0.32,22.07891770011274
0.33,22.18714768883878
0.34,21.889515219842163
0.35000000000000003,22.782412626832016
0.36,22.16009019165727
0.37,22.43066516347238
0.38,23.14768883878241
0.39,22.971815107102593
0.4,22.944757609921083
0.41000000000000003,23.431792559188274
0.42,23.837655016910936
0.43,24.067643742953777
0.44,24.324689966178127
0.45,25.46110484780158
0.46,24.93348365276212
0.47000000000000003,25.10935738444194
0.48,25.501691093573843
0.49,26.164599774520855
0.5,26.259301014656145
0.51,26.692220969560317
0.52,26.908680947012403
0.53,27.165727170236753
0.54,26.813979706877113
0.55,27.152198421646
0.56,28.275084554678692
0.5700000000000001,27.828635851183765
0.58,29.438556933483653
0.59,29.465614430665163
0.6,29.100338218714768
0.61,30.03382187147689
0.62,29.99323562570462
0.63,31.183765501691095
0.64,31.129650507328073
0.65,31.143179255918827
0.66,31.738444193912063
0.67,32.266065388951525
0.68,32.90191657271702
0.6900000000000001,32.87485907553551
0.7000000000000001,34.11950394588501
0.71,34.33596392333709
0.72,35.2423900789177
0.73,35.661781285231115
0.74,35.918827508455465
0.75,37.23111612175874
0.76,37.0011273957159
0.77,38.01578354002255
0.78,39.0304396843292
0.79,38.786922209695604
0.8,40.31567080045096
0.81,40.910935738444195
0.8200000000000001,41.43855693348365
0.8300000000000001,42.372040586245774
0.84,42.41262683201804
0.85,43.18376550169109
0.86,44.37429537767756
0.87,45.7271702367531
0.88,45.86245772266065
0.89,47.08004509582864
0.9,48.6358511837655
0.91,49.89402480270575
0.92,50.44870349492672
0.93,52.51860202931229
0.9400000000000001,53.10033821871477
0.9500000000000001,54.56144306651635
0.96,55.98196166854566
0.97,58.03833145434047
0.98,60.35174746335964
0.99,62.570462232243514
