gamma,time
0.1,20.347237880496053
0.11,20.38782412626832
0.12,20.61781285231116
0.13,21.24013528748591
0.14,21.14543404735062
0.15,21.645997745208568
0.16,21.95715896279594
0.17,21.943630214205186
0.18,21.984216459977453
0.19,22.944757609921083
0.2,23.2423900789177
0.21,23.2423900789177
0.22,23.39120631341601
0.23,23.607666290868096
0.24,24.25704622322435
0.25,24.419391206313417
0.26,24.947012401352875
0.27,25.08229988726043
0.28,25.5152198421646
0.29,25.961668545659528
0.3,26.638105975197295
0.31,26.47576099210823
0.32,27.219842164599775
0.33,27.679819616685457
0.34,27.76099210822999
0.35,28.59977452085682
0.36,28.518602029312287
0.37,29.113866967305523
0.38,29.85794813979707
0.39,30.08793686583991
0.4,30.534385569334837
0.41,31.792559188275085
0.42,32.279594137542276
0.43,33.10484780157835
0.44,33.34836527621195
0.45,34.28184892897407
0.46,34.63359639233371
0.47,34.9988726042841
0.48,36.121758737316796
0.49,37.812852311161215
0.5,38.81397970687711
0.51,38.82750845546787
0.52,39.40924464487035
0.53,40.39684329199549
0.54,41.397970687711386
0.55,42.331454340473506
0.56,43.50845546786922
0.57,44.252536640360766
0.58,45.17249154453213
0.59,46.26832018038331
0.6,47.58060879368659
0.61,48.32468996617813
0.62,50.04284103494927
0.63,52.04509582638106
0.64,52.88387823900789
0.65,54.507328069898534
0.66,56.52311160992108
0.67,57.28072153100338
0.68,58.809470121758736
0.69,60.89289740473506
0.7,62.516347233370915
0.71,63.936865835400226
0.72,66.49379931905298
0.73,68.76662908229989
0.74,70.26832017587373
0.75,72.54114993912063
0.76,75.43630213754227
0.77,77.74971814656143
0.78,79.98196166403608
0.79,84.14881623224352
0.8,85.42051859977452
0.81,89.20856820518603
0.82,92.306651632469
0.83,96.08117249154454
0.84,99.44983089064262
0.85,103.576099210823
0.86,109.71815107328072
0.87,118.20067644193912
0.88,127.17023675986472
0.89,140.48252537542277
0.9,154.6877113934611
0.91,177.1319052942503
0.92,202.0789176820744
0.93,251.4723787598647
0.94,322.9041713213078
0.95,529.9075537023675
